DISTRICT,VISIBILITY,LIGHT,RDSFCOND,Fatal,Driver,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,DRIVACT_GROUPED,INVAGE_GROUPED,Primary_Road,DRIVCOND_GROUPED,VEHTYPE_GROUPED,TRAFFCTL_GROUPED,Weekend,At Intersection,Fatal_Injury
Toronto and East York,0,0,0,0,0.0,0,0,1,0,0,0,0,1,1,1,0,1,0,,Middle-Aged,1.0,,Unknown,No Control,1,1,0
Toronto and East York,0,0,0,0,0.0,0,0,1,0,0,0,0,1,1,1,0,1,0,,Young,1.0,,Unknown,No Control,1,1,0
Toronto and East York,0,0,0,0,1.0,0,0,1,0,0,0,0,1,1,1,0,1,0,Proper Driving,Older Adults,1.0,Normal,Automobiles and Light Vehicles,No Control,1,1,0
Toronto and East York,0,0,0,0,0.0,0,0,1,0,0,0,0,1,1,1,0,1,0,,Young Adults,1.0,,Unknown,No Control,1,1,0
Toronto and East York,0,0,0,0,0.0,0,0,1,0,0,0,0,1,1,1,0,1,0,,Young,1.0,,Unknown,No Control,1,1,0
Toronto and East York,0,0,0,0,0.0,0,0,1,0,0,0,0,1,1,1,0,1,0,,Young Adults,1.0,,Unknown,No Control,1,1,0
Toronto and East York,0,0,0,0,1.0,0,0,1,0,0,0,0,1,1,1,0,1,0,,Unknown,1.0,,Unknown,No Control,1,1,0
Toronto and East York,0,0,0,0,1.0,0,0,1,0,0,0,0,1,1,1,0,1,0,Loss of Control,Young Adults,1.0,Impaired,Automobiles and Light Vehicles,No Control,1,1,0
Toronto and East York,1,0,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,,Young,1.0,,Unknown,No Control,1,1,0
Toronto and East York,1,0,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,,Young,1.0,,Unknown,No Control,1,1,0
Toronto and East York,1,0,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,,Young,1.0,,Unknown,No Control,1,1,0
Toronto and East York,1,0,0,0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,Loss of Control,Young Adults,1.0,Distracted/Inattentive,Automobiles and Light Vehicles,No Control,1,1,0
Toronto and East York,1,0,0,0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,,Unknown,1.0,,Unknown,No Control,1,1,0
Toronto and East York,3,0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,Improper Maneuvers,Young Adults,1.0,Distracted/Inattentive,Automobiles and Light Vehicles,No Control,0,2,0
Toronto and East York,3,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,Middle-Aged,1.0,,Unknown,No Control,0,2,0
Toronto and East York,1,0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,Proper Driving,Young Adults,1.0,Normal,Automobiles and Light Vehicles,Traffic Signals and Signs,0,1,0
Toronto and East York,1,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,Older Adults,1.0,,Others,Traffic Signals and Signs,0,1,0
